seed,run_dir,group,delta_acc,delta_macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,High-D+Low-R,-0.0095108695652174,-0.0079446519109968,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,High-D+High-R,-0.0013586956521739,-0.0083673124198743,0.1
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,High-D+Low-R,0.0101137800252845,0.0089280750773891,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,High-D+High-R,0.0012626262626261,0.0034171610355363,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,High-D+Low-R,0.0065274151436031,0.0046007579934898,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,High-D+High-R,0.0,0.0201846849541219,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,High-D+Low-R,-0.0051282051282051,-0.0101745366190434,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,High-D+High-R,-0.0012804097311139,-0.001736671194751,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,High-D+Low-R,-0.0038265306122449,-0.0047674311368536,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,High-D+High-R,-0.0165605095541402,-0.0194583686864568,0.05
