seed,run_dir,method,group,n,acc,macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,Concat,High-D+Low-R,736.0,0.6372282608695652,0.6234948136594323,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,Concat,High-D+High-R,736.0,0.7377717391304348,0.7199843128636904,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,UncondAlign,High-D+Low-R,736.0,0.6277173913043478,0.6155501617484355,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,UncondAlign,High-D+High-R,736.0,0.7364130434782609,0.711617000443816,0.1
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,Concat,High-D+Low-R,791.0,0.6030341340075853,0.6039854835643866,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,Concat,High-D+High-R,792.0,0.7866161616161617,0.7790644405985953,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,UncondAlign,High-D+Low-R,791.0,0.6131479140328698,0.6129135586417758,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,UncondAlign,High-D+High-R,792.0,0.7878787878787878,0.7824816016341316,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,Concat,High-D+Low-R,766.0,0.608355091383812,0.601806909119467,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,Concat,High-D+High-R,767.0,0.7614080834419817,0.7152742286751037,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,UncondAlign,High-D+Low-R,766.0,0.6148825065274152,0.6064076671129568,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,UncondAlign,High-D+High-R,767.0,0.7614080834419817,0.7354589136292257,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,Concat,High-D+Low-R,780.0,0.6205128205128205,0.6143536538392261,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,Concat,High-D+High-R,781.0,0.7631241997439181,0.7584833803484251,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,UncondAlign,High-D+Low-R,780.0,0.6153846153846154,0.6041791172201827,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,UncondAlign,High-D+High-R,781.0,0.7618437900128041,0.756746709153674,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,Concat,High-D+Low-R,784.0,0.6517857142857143,0.6433940800400428,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,Concat,High-D+High-R,785.0,0.7579617834394905,0.7613677660584101,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,UncondAlign,High-D+Low-R,784.0,0.6479591836734694,0.6386266489031892,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,UncondAlign,High-D+High-R,785.0,0.7414012738853503,0.7419093973719532,0.05
