seed,run_dir,group,delta_acc,delta_macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Low-D,-0.0021352313167259,0.0197589681288065,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Mid-D,-0.0110787172011661,0.0005865045835983,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,High-D,0.0098489822718318,0.0059965212165282,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Overall,-0.0015076459185872,0.0018139891575308,0.1
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Low-D,0.0,0.015750380941408,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Mid-D,0.0068181818181818,0.0073679961350687,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,High-D,0.0,-0.0041857215214395,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Overall,0.002584535860435,0.0037525475413309,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Low-D,0.0007153075822603,-0.0066716445555452,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Mid-D,0.0095291479820628,0.0054455957387616,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,High-D,0.002053388090349,0.0013886741237048,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Overall,0.0045229377557614,0.0033403151938597,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,Low-D,-0.0097020097020097,0.0036133277181558,0.01
