seed,run_dir,method,group,n,acc,macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Concat,Low-D,1405.0,0.5473309608540925,0.484102686703896,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Concat,Mid-D,1715.0,0.6075801749271137,0.5896661784628309,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Concat,High-D,1523.0,0.6874589625738674,0.6852366867632286,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Concat,Overall,4643.0,0.6155502907602843,0.6134595752034816,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,UncondAlign,Low-D,1405.0,0.5451957295373665,0.5038616548327025,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,UncondAlign,Mid-D,1715.0,0.5965014577259475,0.5902526830464292,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,UncondAlign,High-D,1523.0,0.6973079448456992,0.6912332079797568,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,UncondAlign,Overall,4643.0,0.6140426448416971,0.6152735643610124,0.1
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Concat,Low-D,1433.0,0.5471039776692254,0.4969828088632296,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Concat,Mid-D,1760.0,0.5903409090909091,0.5818641232139017,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Concat,High-D,1450.0,0.696551724137931,0.6932783164484987,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Concat,Overall,4643.0,0.6101658410510445,0.6096236025720515,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,UncondAlign,Low-D,1433.0,0.5471039776692254,0.5127331898046377,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,UncondAlign,Mid-D,1760.0,0.5971590909090909,0.5892321193489705,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,UncondAlign,High-D,1450.0,0.696551724137931,0.6890925949270591,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,UncondAlign,Overall,4643.0,0.6127503769114796,0.6133761501133824,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Concat,Low-D,1398.0,0.5536480686695279,0.5188836692282208,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Concat,Mid-D,1784.0,0.5908071748878924,0.5838576693541395,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Concat,High-D,1461.0,0.6913073237508556,0.6805705565269301,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Concat,Overall,4643.0,0.6112427309928925,0.6130438992124402,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,UncondAlign,Low-D,1398.0,0.5543633762517882,0.5122120246726756,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,UncondAlign,Mid-D,1784.0,0.6003363228699552,0.5893032650929012,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,UncondAlign,High-D,1461.0,0.6933607118412046,0.6819592306506349,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,UncondAlign,Overall,4643.0,0.6157656687486539,0.6163842144063,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,Concat,Low-D,1443.0,0.5433125433125433,0.5044720511425781,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,Concat,Mid-D,1648.0,0.5952669902912622,0.5886258980166956,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,Concat,High-D,1552.0,0.6958762886597938,0.6936783833659156,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,Concat,Overall,4643.0,0.6127503769114796,0.6128106972306272,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,UncondAlign,Low-D,1443.0,0.5336105336105336,0.5080853788607339,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,UncondAlign,Mid-D,1648.0,0.5910194174757282,0.5853365959854658,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,UncondAlign,High-D,1552.0,0.6958762886597938,0.6912806702268591,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,UncondAlign,Overall,4643.0,0.6082274391557183,0.6093795521135635,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,Concat,Low-D,1526.0,0.5327653997378768,0.496454196270102,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,Concat,Mid-D,1615.0,0.6030959752321982,0.594146513292865,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,Concat,High-D,1502.0,0.6744340878828229,0.6584774551556238,
