seed,run_dir,group,delta_acc,delta_macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,Low-D,-0.0161290322580645,0.0635303016028173,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,Mid-D,0.0,0.022801417017511,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,High-D,0.0470588235294117,0.0600777727007377,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,Overall,0.0131195335276967,0.0524176529646769,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,Low-D,-0.042056074766355,0.0279842516207712,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,Mid-D,-0.0159362549800796,0.0432990750950311,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,High-D,0.0271493212669682,0.0670776161562295,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,Overall,-0.010204081632653,0.047326930858449,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,Low-D,-0.0363636363636363,0.106664042356934,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,Mid-D,-0.0274914089347079,0.0635795164001899,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,High-D,-0.0043478260869564,0.0414870509607351,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,Overall,-0.021865889212828,0.0726889034894562,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,Low-D,0.0758928571428571,-0.0179447771420565,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,Mid-D,0.04,-0.0670598380543132,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,High-D,-0.0094339622641509,-0.0326229976358479,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,Overall,0.0364431486880466,-0.0366244082892836,0.5
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160205,Low-D,-0.0096153846153846,0.0537363458430496,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160205,Mid-D,-0.0125523012552301,0.0099355148605282,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160205,High-D,-0.0418410041841004,-0.0297149310465427,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160205,Overall,-0.0218658892128279,0.0110068609878393,0.01
