seed,run_dir,method,group,n,acc,macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,Concat,Low-D,186.0,0.4731182795698925,0.3536031000819733,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,Concat,Mid-D,245.0,0.6285714285714286,0.4828345467349617,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,Concat,High-D,255.0,0.5254901960784314,0.420515570431305,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,Concat,Overall,686.0,0.5481049562682215,0.4241674060082234,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,UncondAlign,Low-D,186.0,0.4569892473118279,0.4171334016847907,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,UncondAlign,Mid-D,245.0,0.6285714285714286,0.5056359637524728,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,UncondAlign,High-D,255.0,0.5725490196078431,0.4805933431320427,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_155942,UncondAlign,Overall,686.0,0.5612244897959183,0.4765850589729004,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,Concat,Low-D,214.0,0.5046728971962616,0.4075091575091575,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,Concat,Mid-D,251.0,0.6414342629482072,0.4914134716566327,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,Concat,High-D,221.0,0.4796380090497738,0.389984698972907,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,Concat,Overall,686.0,0.5466472303206997,0.4370958404500246,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,UncondAlign,Low-D,214.0,0.4626168224299065,0.4354934091299288,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,UncondAlign,Mid-D,251.0,0.6254980079681275,0.5347125467516639,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,UncondAlign,High-D,221.0,0.5067873303167421,0.4570623151291366,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160018,UncondAlign,Overall,686.0,0.5364431486880467,0.4844227713084737,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,Concat,Low-D,165.0,0.503030303030303,0.3258345428156748,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,Concat,Mid-D,291.0,0.6323024054982818,0.4539750537859592,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,Concat,High-D,230.0,0.5217391304347826,0.3771428571428571,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,Concat,Overall,686.0,0.5641399416909622,0.4040608545629719,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,UncondAlign,Low-D,165.0,0.4666666666666667,0.4324985851726089,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,UncondAlign,Mid-D,291.0,0.6048109965635738,0.5175545701861491,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,UncondAlign,High-D,230.0,0.5173913043478261,0.4186299081035923,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160057,UncondAlign,Overall,686.0,0.5422740524781341,0.4767497580524282,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,Concat,Low-D,224.0,0.4241071428571428,0.3865013503638693,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,Concat,Mid-D,250.0,0.596,0.5211640211640212,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,Concat,High-D,212.0,0.5660377358490566,0.4923439806029939,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,Concat,Overall,686.0,0.5306122448979592,0.4714795578614987,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,UncondAlign,Low-D,224.0,0.5,0.3685565732218127,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,UncondAlign,Mid-D,250.0,0.636,0.4541041831097079,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,UncondAlign,High-D,212.0,0.5566037735849056,0.459720982967146,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160134,UncondAlign,Overall,686.0,0.5670553935860059,0.4348551495722151,0.5
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160205,Concat,Low-D,208.0,0.4807692307692308,0.3644485748544339,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_155940\runs\mosi\20260614_160205,Concat,Mid-D,239.0,0.606694560669456,0.51326369030589,
