seed,run_dir,group,delta_acc,delta_macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163504,High-D+Low-R,0.0629921259842519,0.0480068387192271,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163504,High-D+High-R,0.03125,0.0633755844655738,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163545,High-D+Low-R,0.0363636363636363,0.0742977276761851,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163545,High-D+High-R,0.018018018018018,0.0195967041445531,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163619,High-D+Low-R,-0.0782608695652173,0.02871148919776,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163619,High-D+High-R,0.0695652173913043,0.0548469855390516,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163652,High-D+Low-R,0.0377358490566037,0.0307332726787746,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163652,High-D+High-R,-0.0566037735849056,-0.0845473818921919,0.5
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163721,High-D+Low-R,-0.0756302521008403,-0.0343689981847877,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163721,High-D+High-R,-0.0083333333333334,-0.0140344723924108,0.01
