seed,run_dir,method,group,n,acc,macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163504,Concat,High-D+Low-R,127.0,0.4645669291338583,0.3772902750328951,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163504,Concat,High-D+High-R,128.0,0.5859375,0.4053089767375482,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163504,UncondAlign,High-D+Low-R,127.0,0.5275590551181102,0.4252971137521222,0.05
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163504,UncondAlign,High-D+High-R,128.0,0.6171875,0.468684561203122,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163545,Concat,High-D+Low-R,110.0,0.3818181818181818,0.3219786025624092,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163545,Concat,High-D+High-R,111.0,0.5765765765765766,0.4143693298214808,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163545,UncondAlign,High-D+Low-R,110.0,0.4181818181818181,0.3962763302385944,0.05
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163545,UncondAlign,High-D+High-R,111.0,0.5945945945945946,0.433966033966034,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163619,Concat,High-D+Low-R,115.0,0.4869565217391304,0.3193352795867954,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163619,Concat,High-D+High-R,115.0,0.5565217391304348,0.3744696550451946,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163619,UncondAlign,High-D+Low-R,115.0,0.408695652173913,0.3480467687845554,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163619,UncondAlign,High-D+High-R,115.0,0.6260869565217392,0.4293166405842463,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163652,Concat,High-D+Low-R,106.0,0.4622641509433962,0.4031376950631609,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163652,Concat,High-D+High-R,106.0,0.6698113207547169,0.5084435261707989,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163652,UncondAlign,High-D+Low-R,106.0,0.5,0.4338709677419355,0.5
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163652,UncondAlign,High-D+High-R,106.0,0.6132075471698113,0.4238961442786069,0.5
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163721,Concat,High-D+Low-R,119.0,0.5546218487394958,0.4598518973518974,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163721,Concat,High-D+High-R,120.0,0.6166666666666667,0.4544761563123556,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163721,UncondAlign,High-D+Low-R,119.0,0.4789915966386555,0.4254828991671096,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosi\multi_seed_20260614_163501\runs\mosi\20260614_163721,UncondAlign,High-D+High-R,120.0,0.6083333333333333,0.4404416839199448,0.01
